AppStream ID,Parent,Classifier,Name,Summary
AbyssinicaSIL-R.ttf,,,,A font used for writing the languages of Ethiopia and Eritrea
AccanthisADFStd-Regular.otf,Accanthis,Number 1,Accanthis,A “modernized” garaldic serif font
AccanthisADFStdNo2-Regular.otf,Accanthis,Number 2,^,^
AccanthisADFStdNo3-Regular.otf,Accanthis,Number 3,^,^
Alegreya-Black.otf,,,,A font originally intended for literature
AlegreyaSC-Black.otf,Alegreya,,,^
AndBasR.ttf,,,,A font for literacy and beginning readers
AnjaliOldLipi.ttf,,,Anjali OldLipi,fonts for Malayalam script
Anonymous Pro B.ttf,,Mono,,A coding-friendly monospace font
Arimo-Regular.ttf,,,,The croscore Arimo family fonts
ArundinaSans-Oblique.ttf,Arundina,Sans,Arundina,A Thai Arundina font
ArundinaSansMono-Oblique.ttf,Arundina,Sans Mono,^,^
ArundinaSerif.ttf,Arundina,Serif,^,^
Asana-Math.otf,,,,An font with a MATH table
BPG_Algeti_GPL-GNU.ttf,,,,Algeti Family of BPG Georgian fonts
BPG_Chveulebrivi_GPL-GNU.ttf,,,,Chveulebrivi family of BPG Georgian fonts
BPG_Classic_GPL-GNU.otf,,,,Classic family of BPG Georgian fonts
BPG_Courier_GPL-GNU.ttf,,,,Courier family of BPG Georgian fonts
BPG_Courier_S_GPL-GNU.ttf,,,,Courier S family of BPG Georgian fonts
BPG_DedEena_Block_GPL-GNU.ttf,,,,DedaEna Block family of BPG Georgian fonts
BPG_DejaVu_Sans_2011_GPL-GNU.ttf,,,BPG DejaVu Sans,DejaVu Sans with BPG Georgian changes
BPG_Elite_GPL-GNU.ttf,,,,Elite family of BPG Georgian fonts
BPG_Excelsior_Caps_GPL-GNU.ttf,BPG Excelsior,Caps,BPG Excelsior,Excelsior family of BPG Georgian fonts
BPG_Excelsior_Condenced_GPL-GNU.ttf,BPG Excelsior,Condensed,^,^
BPG_Excelsior_GPL-GNU.ttf,BPG Excelsior,Regular,,^
BPG_Glaho_GPL-GNU.ttf,,,,Glaho family of BPG Georgian fonts
BPG_Gorda_GNU-GPL.ttf,,,,Gorda family of BPG Georgian fonts
BPG_Ingiri_GPL-GNU.ttf,,,,Ingiri family of BPG Georgian fonts
BPG_Irubaqidze_GPL-GNU.otf,,,,Irubaqidze family of BPG Georgian fonts
BPG_Mikhail_Stephan_GPL-GNU.otf,,,,Mikhail Stephan family of BPG Georgian fonts
BPG_Mrgvlovani_Caps_GNU-GPL.ttf,BPG Mrgvlovani,Caps,BPG Mrgvlovani,Mrgvlovani family of BPG Georgian fonts
BPG_Mrgvlovani_GPL-GNU.ttf,BPG Mrgvlovani,Regular,,^
BPG_Nateli_Caps_GPL-GNU.ttf,BPG Nateli,Caps,BPG Nateli,Nateli family of BPG Georgian fonts
BPG_Nateli_Condenced_GPL-GNU.ttf,BPG Nateli,Condensed,^,^
BPG_Nateli_GPL-GNU.ttf,BPG Nateli,Regular,,^
BPG_Nino_Medium_Cond_GPL-GNU.ttf,BPG Nino Medium,Condensed,BPG Nino Medium,Nino Medium family of BPG Georgian fonts
BPG_Nino_Medium_GPL-GNU.ttf,BPG Nino Medium,Regular,,^
BPG_Sans_GPL-GNU.ttf,BPG Sans,Sans,,Sans family of BPG Georgian fonts
BPG_Sans_Medium_GPL-GNU.ttf,BPG Sans,Sans Medium,BPG Sans,^
BPG_Sans_Modern_GPL-GNU.ttf,BPG Sans,Sans Modern,^,^
BPG_Sans_Regular_GPL-GNU.ttf,BPG Sans,Sans Regular,^,^
BPG_Serif_GPL-GNU.ttf,BPG Serif,Serif,,Serif family of BPG Georgian fonts
BPG_Serif_Modern_GPL-GNU.ttf,BPG Serif,Serif Modern,BPG Serif,^
BPG_Ucnobi_GPL-GNU.otf,,,,Ucnobi family of BPG Georgian fonts
batang.ttf,Baekmuk,Batang,Baekmuk,A set of Korean Baekmuk fonts
dotum.ttf,Baekmuk,Dotum,^,^
gulim.ttf,Baekmuk,Gulim,^,^
hline.ttf,Baekmuk,Headline,^,^
Beteckna.otf,Beteckna,Sans Regular,,Beteckna sans-serif fonts
BetecknaSmallCaps.otf,Beteckna,Sans Small Caps,Beteckna,^
BetecknaLowerCase.otf,Beteckna,Sans Lower Case,^,^
Vera.ttf,Bitstream Vera,Sans,Bitstream Vera,High quality Latin fonts by Bitstream
VeraMoBI.ttf,Bitstream Vera,Sans Mono,^,^
VeraSe.ttf,Bitstream Vera,Serif,^,^
bola.ttf,,,,Chunky Geometric fonts
BonvenoCF-Light.ttf,,,,A fun font by Barry Schwartz
BrettFont1.1.ttf,,,Brett,A handwriting font
Caladea-Regular.ttf,,,,Sans-serif font metric-compatible with Cambria font
Cantarell-Regular.otf,,,,A Humanist sans-serif font family
Cardo104s.ttf,,,,A font for scholarly use in classical and medieval languages
Carlito-Regular.ttf,,,,Sans-serif font metric-compatible with Calibri font
CenturySchL-Roma.otf,,,Century Schoolbook,LilyPond is an automated music engraving system
CharisSIL-B.ttf,,,,A serif smart font similar to Bitstream Charter
CharisSILCB.ttf,,,Charis Compact,^
Comfortaa-Light.ttf,,,,Modern style true type font
Conakry.ttf,,,,A N'Ko font
Cousine-Regular.ttf,,,,The croscore Cousine family fonts
Crimson-Roman.ttf,,,,A latin font for the production of technical books and papers
DarkGarden.ttf,,,,Dark Garden is a decorative outline font of unusual shape
DavidCLM-Medium.ttf,,,,A set of fonts for Hebrew from Culmus project
DejaVuLGCSans-Oblique.ttf,DejaVuLGC,Sans,DejaVu Latin Greek and Cyrillic,"A set of sans-serif font faces, Latin-Greek-Cyrillic subset"
DejaVuLGCSansCondensed-Oblique.ttf,DejaVuLGC,Sans Condensed,^,^
DejaVuLGCSans-ExtraLight.ttf,DejaVuLGC,Sans Light,^,^
DejaVuLGCSansMono-Oblique.ttf,DejaVuLGC,Sans Mono,^,^
DejaVuLGCSerif.ttf,DejaVuLGC,Serif,^,^
DejaVuLGCSerifCondensed.ttf,DejaVuLGC,Serif Condensed,^,^
DejaVuSans-Oblique.ttf,DejaVu,Sans,DejaVu,A set of sans-serif font faces
DejaVuSansCondensed-Oblique.ttf,DejaVu,Sans Condensed,^,^
DejaVuSans-ExtraLight.ttf,DejaVu,Sans Light,^,^
DejaVuSansMono-Oblique.ttf,DejaVu,Sans Mono,^,^
DejaVuSerif.ttf,DejaVu,Serif,^,^
DejaVuSerifCondensed.ttf,DejaVu,Serif Condensed,^,^
Delphine.ttf,,,,A handwriting font
Denemo.ttf,,,,Denemo Denemo fonts
phranzysko_-_Digna_s_Handwriting.ttf,,Cursive,,Phranzysko's sister handwriting
Domestic_Manners.ttf,,Cursive,,A handwriting font by Dustin Norlander
DoulosSILR.ttf,,,,Doulos SIL fonts
DroidKufi-Regular.ttf,Droid,Sans,Droid,A humanist sans serif font
DroidNaskh-Regular.ttf,Droid,Serif,^,^
DroidSans.ttf,Droid,Sans,^,^
DroidSansDevanagari-Regular.ttf,Droid,Sans,^,^
DroidSansFallback.ttf,Droid,Sans,^,^
DroidSansHebrew-Regular.ttf,Droid,Sans,^,^
DroidSansMono.ttf,Droid,Sans Mono,^,^
DroidSansTamil-Regular.ttf,Droid,Sans,^,^
DroidSerif-Regular.ttf,Droid,Serif,^,^
Dustismo.ttf,Dustismo,Sans,,General purpose fonts
Dustismo_Roman.ttf,Dustismo,Serif,Dustismo,^
Dyuthi.ttf,,,,A font for Malayalam script
ec_cour.ttf,Ecolier court,Cursive,Écolier court,Schoolchildren cursive fonts
ecl_cour.ttf,Ecolier court,Cursive with lines,^,^
Edrip-Regular.ttf,,Sans,,A decorative contrast sans-serif font
Essays1743.ttf,,,Essays 1743,Thibault.org Montaigne's Essays font font
jiret.ttf,Ethiopic,,Ethiopic,A font for the Geʼez (Ethiopic) script
fantuwua.ttf,Ethiopic,,^,^
hiwua.ttf,Ethiopic,,^,^
tint.ttf,Ethiopic,,^,^
washrab.ttf,Ethiopic,,^,^
washrasb.ttf,Ethiopic,,^,^
wookianos.ttf,Ethiopic,,^,^
yebse.ttf,Ethiopic,,^,^
goffer.ttf,Ethiopic,,^,^
yigezubisratgothic.ttf,Ethiopic,,^,^
zelan.ttf,Ethiopic,,^,^
FrankRuehlCLM-Medium.ttf,,,,A set of fonts for Hebrew from Culmus project
FreeMono.ttf,Freefont,Mono,GNU Freefont,GNU Freefont
FreeSans.ttf,Freefont,Sans,^,^
FreeSerif.ttf,Freefont,Serif,^,^
GFSAmbrosia.otf,,,,GFS Ambrosia majuscule Greek font
GFSArtemisia.otf,,,,GFS Artemisia fonts
GFSBaskerville.otf,,,,GFS Baskerville Greek font
GFSBodoni.otf,,,,GFS Bodoni fonts
GFSDidot.otf,,,,GFS Didot fonts
GFSEustace.otf,,,,GFS Eustace majuscule Greek font
GFSFleischman.otf,,,,GFS Fleischman majuscule Greek font
GFSGaraldus.otf,,,,GFS Garaldus majuscule Greek font
GFSIgnacio.otf,,,,A majuscule Greek font
GFSJackson.otf,,,,GFS Jackson majuscule Greek font
GFSNeohellenic.otf,,,,A 20th century Greek font
GFSNicefore.otf,,,,GFS Nicefore majuscule Greek font
GFSPhilostratos.otf,,,,A revival of the “Griechische Antiqua” Greek font
GFSTheokritos.otf,,,,GFS Theokritos decorative font
